id;sexo;edad;region;ciudad;producto;antiguedad_anios;P1_sat_atencion;P2_sat_tiempos;P3_sat_app;P4_sat_sucursal;P5_sat_general;P6_nps;comentario;ponderador
1;2;42,0;Biobio;santiago;Cuenta Vista;25;4,0;3,0;4,0;2,0;5,0;10,0;;1,19
2;1;71,0;Coquimbo ;Santiago ;Tarjeta de Credito;15;4,0;4,0;3,0;4,0;4,0;0,0;Todo bien;1,617
3;1;50,0;Metropolitana;STGO;Tarjeta de Credito;21;4,0;3,0;3,0;1,0;4,0;8,0;Excelente ejecutivo;0,982
4;2;37,0;Coquimbo;Santiago;Tarjeta de Credito;1;4,0;5,0;4,0;4,0;4,0;5,0;;0,758
5;9;63,0;Valparaiso;Vina del Mar;Cuenta Vista;12;1,0;1,0;2,0;4,0;4,0;8,0;Muy malos los tiempos de espera;1,177
6;1;32,0;Biobio;valpo;Tarjeta de Credito;20;5,0;4,0;3,0;5,0;4,0;6,0;Demoraron mucho en atenderme;0,569
7;1;24,0;Metropolitana;Santiago;Cuenta Vista;14;4,0;2,0;4,0;5,0;5,0;8,0;;1,863
8;1;65,0;Metropolitana;Coquimbo;Tarjeta de Credito;3;5,0;3,0;4,0;1,0;2,0;7,0;;0,84
9;1;78,0;Biobio;Talcahuano;Credito de Consumo;5;2,0;99,0;5,0;3,0;5,0;10,0;Mejorar el sitio web;1,464
10;1;28,0;Biobio;Vina del Mar;Cuenta Corriente;18;2,0;4,0;2,0;5,0;3,0;8,0;;1,079
11;2;52,0;Valparaiso;La Serena;Tarjeta de Credito;1;4,0;5,0;4,0;5,0;5,0;10,0;;0,785
12;2;62,0;BIOBIO;santiago;Tarjeta de Credito;13;3,0;3,0;3,0;1,0;4,0;10,0;Sin comentarios;0,999
13;1;19,0;COQUIMBO;temuco;Cuenta Corriente;18;99,0;4,0;5,0;4,0;5,0;10,0;Todo bien;1,544
14;2;66,0;Araucania;STGO;Tarjeta de Credito;21;3,0;1,0;4,0;5,0;4,0;9,0;La app se cae seguido;1,718
15;1;43,0;Metropolitana;Talcahuano;Cuenta Corriente;24;4,0;4,0;2,0;3,0;3,0;4,0;Mejorar el sitio web;1,475
16;1;51,0;Metropolitana;La Serena;Cuenta Vista;17;4,0;1,0;3,0;4,0;5,0;99,0;La app se cae seguido;0,593
17;9;41,0;Biobio;Talcahuano;Cuenta Corriente;5;4,0;4,0;4,0;4,0;1,0;5,0;;0,563
18;2;23,0;Biobio;la serena;Cuenta Corriente;5;4,0;5,0;4,0;2,0;2,0;6,0;Buena atencion;1,717
19;2;74,0;Metropolitana;Puente Alto;Cuenta Vista;2;2,0;2,0;1,0;2,0;4,0;4,0;;0,961
20;1;79,0;Biobio;Puente Alto;Cuenta Vista;2;4,0;4,0;4,0;1,0;4,0;8,0;Muy malos los tiempos de espera;0,873
21;1;33,0;Metropolitana;Santiago;Cuenta Vista;21;4,0;4,0;3,0;3,0;4,0;6,0;;1,374
22;1;65,0;Araucania;Viña del Mar;Cuenta Corriente;1;5,0;4,0;5,0;4,0;4,0;8,0;Muy malos los tiempos de espera;1,62
23;1;74,0;Metropolitana;santiago;Credito de Consumo;7;4,0;4,0;4,0;4,0;5,0;10,0;Excelente ejecutivo;1,199
24;2;37,0;Biobio;Temuco;Cuenta Corriente;0;4,0;5,0;3,0;4,0;4,0;7,0;Excelente ejecutivo;0,72
25;1;23,0;Metropolitana;STGO;Cuenta Corriente;22;3,0;4,0;5,0;2,0;5,0;99,0;Mejorar el sitio web;2,091
26;1;32,0;Metropolitana;Santiago;Credito de Consumo;19;3,0;5,0;5,0;2,0;4,0;8,0;Buena atencion;1,26
27;2;54,0;Valparaiso;Puente Alto;Cuenta Corriente;5;4,0;4,0;1,0;4,0;4,0;7,0;Mejorar el sitio web;1,642
28;1;25,0;METROPOLITANA;Temuco;Cuenta Corriente;4;1,0;1,0;5,0;2,0;4,0;10,0;Demoraron mucho en atenderme;1,039
29;1;59,0;Araucania;Vina del Mar;Cuenta Corriente;13;5,0;4,0;5,0;5,0;5,0;8,0;;1,057
30;1;25,0;Metropolitana;VALPARAISO;Credito de Consumo;20;1,0;4,0;4,0;2,0;4,0;1,0;;1,405
31;1;22,0;  Valparaiso;Ovalle;Cuenta Corriente;18;5,0;4,0;5,0;5,0;5,0;6,0;;0,698
32;1;72,0;Metropolitana;La Serena;Cuenta Corriente;24;2,0;5,0;4,0;5,0;2,0;10,0;Buena atencion;1,76
33;2;77,0;araucania;Ovalle;Tarjeta de Credito;19;5,0;5,0;3,0;5,0;4,0;3,0;Muy malos los tiempos de espera;1,554
34;1;76,0;Metropolitana;concepción;Cuenta Corriente;20;4,0;3,0;4,0;3,0;3,0;9,0;;1,642
35;2;76,0;Coquimbo;Ovalle;Credito de Consumo;23;5,0;3,0;4,0;5,0;2,0;6,0;Sin comentarios;1,498
36;2;31,0;Metropolitana;Puente Alto;Cuenta Vista;20;4,0;2,0;4,0;3,0;3,0;10,0;;2,193
37;1;73,0;Coquimbo;La Serena;Cuenta Corriente;17;4,0;1,0;3,0;5,0;4,0;6,0;;1,158
38;2;23,0;Coquimbo;Puente Alto;Tarjeta de Credito;19;5,0;5,0;4,0;2,0;5,0;5,0;;1,706
39;2;49,0;Metropolitana ;valpo;Cuenta Vista;2;4,0;5,0;3,0;99,0;5,0;7,0;Buena atencion;1,241
40;1;50,0;Coquimbo;Puente Alto;Cuenta Corriente;5;1,0;2,0;2,0;5,0;5,0;6,0;;1,741
41;1;74,0;VALPARAISO;temuco;Credito de Consumo;8;3,0;5,0;5,0;5,0;2,0;8,0;;2,066
42;1;77,0;Metropolitana;concepción;Credito de Consumo;11;99,0;4,0;5,0;2,0;5,0;3,0;La app se cae seguido;1,254
43;2;54,0;Metropolitana;STGO;Tarjeta de Credito;8;2,0;5,0;3,0;4,0;4,0;6,0;Mejorar el sitio web;0,619
44;2;21,0;  Valparaiso;Villarrica;Cuenta Vista;20;3,0;4,0;5,0;3,0;5,0;9,0;;1,228
45;1;38,0;Valparaiso;Santiago ;Cuenta Vista;19;4,0;4,0;4,0;2,0;4,0;7,0;Todo bien;1,988
46;2;46,0;Metropolitana;concepción;Cuenta Corriente;4;4,0;2,0;3,0;3,0;1,0;3,0;Todo bien;1,528
47;1;71,0;Valparaiso;Puente Alto;Cuenta Corriente;24;99,0;5,0;4,0;4,0;4,0;10,0;Sin comentarios;1,314
48;2;26,0;Metropolitana;STGO;Cuenta Corriente;7;4,0;5,0;2,0;4,0;4,0;5,0;Excelente ejecutivo;1,156
